"";"ANNEE";"DEPARTEMENT";"Qmort[0-4]";"Qmort[5-9]";"Qmort[10-14]";"Qmort[15-19]";"Qmort[20-24]";"Qmort[25-29]";"Qmort[30-34]";"Qmort[35-40]";"Qmort[40-44]";"Qmort[45-49]";"Qmort[50-54]";"Qmort[55-59]";"Qmort[60-64]";"Qmort[65-69]";"Qmort[70-74]";"Qmort[75-79]";"Qmort[80-85]";"Qmort[85-...]"
"1";1806;"AIN";0,4626;0,0648;0,0395;0,0545;0,0695;0,0737;0,0772;0,0794;0,0807;0,0833;0,1007;0,1322;0,185;0,2601;0,3675;0,4829;0,6129;0,7656
"2";1806;"AISNE";0,2648;0,0336;0,0222;0,0325;0,0422;0,0457;0,0487;0,0522;0,0559;0,0621;0,0783;0,1055;0,1516;0,2193;0,3208;0,4395;0,5793;0,7421
"3";1806;"ALLIER";0,4102;0,0562;0,0349;0,0488;0,0624;0,0665;0,0699;0,0725;0,0746;0,0782;0,0954;0,1259;0,1772;0,2507;0,3569;0,4732;0,6055;0,7605
"4";1806;"ALPES(BASSES-)";0,4634;0,0649;0,0395;0,0546;0,0696;0,0738;0,0773;0,0795;0,0808;0,0833;0,1008;0,1323;0,1851;0,2602;0,3676;0,483;0,613;0,7657
"5";1806;"ALPES(HAUTES-)";0,4839;0,0683;0,0413;0,0568;0,0724;0,0766;0,0801;0,0821;0,0831;0,0852;0,1028;0,1347;0,188;0,2637;0,3715;0,4866;0,6157;0,7676
"6";1806;"ARDECHE";0,2064;0,0251;0,0172;0,0257;0,0338;0,0369;0,0397;0,0433;0,0475;0,0545;0,07;0,0953;0,1386;0,2032;0,302;0,4214;0,5649;0,7321
"7";1806;"ARDENNES";0,2297;0,0284;0,0192;0,0284;0,0372;0,0404;0,0433;0,0469;0,051;0,0576;0,0735;0,0996;0,1441;0,21;0,3099;0,4291;0,571;0,7364
"8";1806;"ARIEGE";0,2203;0,0271;0,0184;0,0274;0,0358;0,039;0,0419;0,0455;0,0496;0,0564;0,0721;0,0979;0,1419;0,2073;0,3068;0,426;0,5686;0,7347
"9";1806;"AUBE";0,2912;0,0376;0,0245;0,0355;0,046;0,0496;0,0527;0,0561;0,0596;0,0653;0,0818;0,1096;0,1568;0,2258;0,3284;0,4466;0,5849;0,7461
"10";1806;"AUDE";0,2323;0,0288;0,0194;0,0287;0,0376;0,0408;0,0437;0,0473;0,0513;0,058;0,0739;0,1;0,1446;0,2107;0,3108;0,4299;0,5717;0,7368
"11";1806;"AVEYRON";0,2467;0,0309;0,0207;0,0304;0,0397;0,043;0,046;0,0495;0,0534;0,0598;0,0759;0,1025;0,1478;0,2146;0,3154;0,4343;0,5752;0,7393
"12";1806;"BOUCHES-DU-RHONE";0,3441;0,0457;0,0291;0,0414;0,0534;0,0572;0,0605;0,0636;0,0664;0,0713;0,0881;0,1173;0,1664;0,2376;0,3419;0,4594;0,5949;0,753
"13";1806;"CALVADOS";0,1653;0,0193;0,0137;0,0209;0,0277;0,0305;0,033;0,0366;0,0411;0,0485;0,0634;0,0871;0,1281;0,1899;0,2861;0,4059;0,5523;0,7233
"14";1806;"CANTAL";0,3545;0,0474;0,03;0,0426;0,0548;0,0587;0,062;0,065;0,0678;0,0724;0,0893;0,1187;0,1682;0,2398;0,3444;0,4617;0,5966;0,7543
"15";1806;"CHARENTE";0,2791;0,0358;0,0235;0,0341;0,0443;0,0478;0,0509;0,0543;0,0579;0,0638;0,0802;0,1078;0,1544;0,2229;0,325;0,4434;0,5824;0,7443
"16";1806;"CHARENTE-INFERIEURE";0,2349;0,0292;0,0197;0,029;0,038;0,0412;0,0441;0,0477;0,0517;0,0583;0,0742;0,1005;0,1452;0,2114;0,3116;0,4307;0,5723;0,7373
"17";1806;"CHER";0,3788;0,0512;0,0321;0,0453;0,0582;0,0621;0,0655;0,0683;0,0708;0,0749;0,092;0,1219;0,1723;0,2447;0,35;0,4669;0,6007;0,7571
"18";1806;"CORREZE";0,4484;0,0625;0,0382;0,053;0,0676;0,0718;0,0752;0,0776;0,0791;0,0819;0,0993;0,1306;0,183;0,2576;0,3647;0,4804;0,611;0,7643
