"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"1";1806;"AIN";0;0,4626;1;30,06
"2";1806;"AIN";10;0,0395;0,503;22,375
"3";1806;"AIN";15;0,0545;0,483;19,86
"4";1806;"AIN";20;0,0695;0,456;17,445
"5";1806;"AIN";25;0,0737;0,425;15,165
"6";1806;"AIN";30;0,0772;0,393;13,04
"7";1806;"AIN";35;0,0794;0,363;11,075
"8";1806;"AIN";40;0,0807;0,334;9,26
"9";1806;"AIN";45;0,0833;0,307;7,59
"10";1806;"AIN";5;0,0648;0,537;25,06
"11";1806;"AIN";50;0,1007;0,282;6,055
"12";1806;"AIN";55;0,1322;0,253;4,645
"13";1806;"AIN";60;0,185;0,22;3,38
"14";1806;"AIN";65;0,2601;0,179;2,28
"15";1806;"AIN";70;0,3675;0,133;1,385
"16";1806;"AIN";75;0,4829;0,084;0,72
"17";1806;"AIN";80;0,6129;0,043;0,3
"18";1806;"AIN";85;0,7656;0,017;0,085
"19";1806;"AISNE";0;0,2648;1;45,075
"20";1806;"AISNE";10;0,0222;0,71;36,4
"21";1806;"AISNE";15;0,0325;0,695;32,85
"22";1806;"AISNE";20;0,0422;0,672;29,375
"23";1806;"AISNE";25;0,0457;0,644;26,015
"24";1806;"AISNE";30;0,0487;0,614;22,795
"25";1806;"AISNE";35;0,0522;0,584;19,725
"26";1806;"AISNE";40;0,0559;0,554;16,805
"27";1806;"AISNE";45;0,0621;0,523;14,035
"28";1806;"AISNE";5;0,0336;0,735;40,075
"29";1806;"AISNE";50;0,0783;0,49;11,42
"30";1806;"AISNE";55;0,1055;0,452;8,97
"31";1806;"AISNE";60;0,1516;0,404;6,71
"32";1806;"AISNE";65;0,2193;0,343;4,69
"33";1806;"AISNE";70;0,3208;0,268;2,975
"34";1806;"AISNE";75;0,4395;0,182;1,635
"35";1806;"AISNE";80;0,5793;0,102;0,725
"36";1806;"AISNE";85;0,7421;0,043;0,215
"37";1806;"ALLIER";0;0,4102;1;33,595
"38";1806;"ALLIER";10;0,0349;0,557;25,645
"39";1806;"ALLIER";15;0,0488;0,537;22,86
"40";1806;"ALLIER";20;0,0624;0,511;20,175
"41";1806;"ALLIER";25;0,0665;0,479;17,62
"42";1806;"ALLIER";30;0,0699;0,447;15,225
"43";1806;"ALLIER";35;0,0725;0,416;12,99
"44";1806;"ALLIER";40;0,0746;0,386;10,91
"45";1806;"ALLIER";45;0,0782;0,357;8,98
"46";1806;"ALLIER";5;0,0562;0,59;28,595
"47";1806;"ALLIER";50;0,0954;0,329;7,195
"48";1806;"ALLIER";55;0,1259;0,298;5,55
"49";1806;"ALLIER";60;0,1772;0,26;4,06
"50";1806;"ALLIER";65;0,2507;0,214;2,76
"51";1806;"ALLIER";70;0,3569;0,16;1,69
"52";1806;"ALLIER";75;0,4732;0,103;0,89
