ANNEE;DEPARTEMENT;Age;Qmort;Survie
1806;AIN;0;0,4626;1000
1806;AIN;5;0,0648;537
1806;AIN;10;0,0395;503
1806;AIN;15;0,0545;483
1806;AIN;20;0,0695;456
1806;AIN;25;0,0737;425
1806;AIN;30;0,0772;393
1806;AIN;35;0,0794;363
1806;AIN;40;0,0807;334
1806;AIN;45;0,0833;307
1806;AIN;50;0,1007;282
1806;AIN;55;0,1322;253
1806;AIN;60;0,185;220
1806;AIN;65;0,2601;179
1806;AIN;70;0,3675;133
1806;AIN;75;0,4829;84
1806;AIN;80;0,6129;43
1806;AIN;85;0,7656;17
1806;AISNE;0;0,2648;1000
1806;AISNE;5;0,0336;735
1806;AISNE;10;0,0222;710
1806;AISNE;15;0,0325;695
1806;AISNE;20;0,0422;672
1806;AISNE;25;0,0457;644
1806;AISNE;30;0,0487;614
1806;AISNE;35;0,0522;584
1806;AISNE;40;0,0559;554
1806;AISNE;45;0,0621;523
1806;AISNE;50;0,0783;490
1806;AISNE;55;0,1055;452
1806;AISNE;60;0,1516;404
1806;AISNE;65;0,2193;343
1806;AISNE;70;0,3208;268
1806;AISNE;75;0,4395;182
1806;AISNE;80;0,5793;102
1806;AISNE;85;0,7421;43
1806;ALLIER;0;0,4102;1000
1806;ALLIER;5;0,0562;590
1806;ALLIER;10;0,0349;557
1806;ALLIER;15;0,0488;537
1806;ALLIER;20;0,0624;511
1806;ALLIER;25;0,0665;479
1806;ALLIER;30;0,0699;447
1806;ALLIER;35;0,0725;416
1806;ALLIER;40;0,0746;386
1806;ALLIER;45;0,0782;357
1806;ALLIER;50;0,0954;329
1806;ALLIER;55;0,1259;298
1806;ALLIER;60;0,1772;260
1806;ALLIER;65;0,2507;214
1806;ALLIER;70;0,3569;160
1806;ALLIER;75;0,4732;103
1806;ALLIER;80;0,6055;54
1806;ALLIER;85;0,7605;21
1806;ALPES(BASSES-);0;0,4634;1000
1806;ALPES(BASSES-);5;0,0649;537
1806;ALPES(BASSES-);10;0,0395;502
1806;ALPES(BASSES-);15;0,0546;482
1806;ALPES(BASSES-);20;0,0696;456
1806;ALPES(BASSES-);25;0,0738;424
1806;ALPES(BASSES-);30;0,0773;393
1806;ALPES(BASSES-);35;0,0795;362
1806;ALPES(BASSES-);40;0,0808;333
1806;ALPES(BASSES-);45;0,0833;307
1806;ALPES(BASSES-);50;0,1008;281
1806;ALPES(BASSES-);55;0,1323;253
1806;ALPES(BASSES-);60;0,1851;219
1806;ALPES(BASSES-);65;0,2602;179
1806;ALPES(BASSES-);70;0,3676;132
1806;ALPES(BASSES-);75;0,483;84
1806;ALPES(BASSES-);80;0,613;43
1806;ALPES(BASSES-);85;0,7657;17
1806;ALPES(HAUTES-);0;0,4839;1000
1806;ALPES(HAUTES-);5;0,0683;516
1806;ALPES(HAUTES-);10;0,0413;481
1806;ALPES(HAUTES-);15;0,0568;461
1806;ALPES(HAUTES-);20;0,0724;435
1806;ALPES(HAUTES-);25;0,0766;403
1806;ALPES(HAUTES-);30;0,0801;372
1806;ALPES(HAUTES-);35;0,0821;343
1806;ALPES(HAUTES-);40;0,0831;314
1806;ALPES(HAUTES-);45;0,0852;288
1806;ALPES(HAUTES-);50;0,1028;264
1806;ALPES(HAUTES-);55;0,1347;237
1806;ALPES(HAUTES-);60;0,188;205
1806;ALPES(HAUTES-);65;0,2637;166
1806;ALPES(HAUTES-);70;0,3715;122
1806;ALPES(HAUTES-);75;0,4866;77
1806;ALPES(HAUTES-);80;0,6157;40
1806;ALPES(HAUTES-);85;0,7676;15
1806;ARDECHE;0;0,2064;1000
